State,Crop Name,Sowing Period,Harvesting Period
West Bengal,Kharif Groundnut,Jun(E)-jul(B),Sep(E)-Oct(B)
West Bengal,Rabi Groundnut,Oct(E)-Nov(B),Jan(E)-March(B)
West Bengal,Summer Groundnut,Feb(B)-Mar(E),May(B)-Jun(E)
Andhra Pradesh,Mustard/Banarasi rai,Nov(L)-Dec(E),Feb-March
Assam,Toria,Nov(L)-Dec(E),Feb-March
Bihar,Mustard,Oct(L)-Nov(L),Feb-March
Bihar,Toria,Sep(L)-Oct(E),Jan-Feb
Bihar,Yellow Sarson,Oct(E),Feb-March
Gujarat,Mustard,Oct(L),Feb-March
Gujarat,Yellow Sarson,Oct(L),Feb
Haryana,Mustard,Within Oct,Feb-March
Haryana,Toria,Sep(L),Dec-Jan
Punjab,Mustard,Oct(L)-Nov(L),March-April
Punjab,Toria,Sep(L),Dec-Jan
Rajasthan,Mustard,Sep(L)-Oct(L),Feb-March
Uttar Pradesh,Mustard,Within Oct,Feb-March
Uttar Pradesh,Toria,Sep(L),Dec-Jan
Uttar Pradesh,Yellow Sarson,Within Oct,Feb-March
West Bengal,Mustard,Within Oct,Feb-March
West Bengal,Toria,Oct(L)-Nov(E),Feb
West Bengal,Yellow Sarson,Oct(L)-Nov(E),Feb-March
Assam,Rabi Linseed,Oct(B)-Nov(B),Mar(B)-Apr(E)
Andhra Pradesh,Rabi Linseed,Oct(B)-Oct(E),Feb(E)-Mar(E)
Bihar,Rabi Linseed,Oct(B)-Nov(B),Mar(B)-Apr(E)
M.P.,Rabi Linseed,Oct(B)-Nov(M),Mar(B)-Mar(E)
Chhattisgarh,Rabi Linseed,Oct(B)-Nov(M),Mar(B)-Mar(E)
Maharashtra,Rabi Linseed,Oct(B)-Oct(E),Mar(B)-Mar(E)
Uttar Pradesh,Rabi Linseed,Oct(B)-Nov(B),Mar(B)-Apr(E)
Orissa,Rabi Linseed,Oct(B)-Oct(E),Mar(B)-Mar(E)
Jharkhand,Rabi Linseed,Oct(B)-Nov(B),Mar(B)-Apr(E)
Karnataka,Rabi Linseed,Oct(B)-Oct(E),Feb(B)-Mar(M)
Nagaland,Rabi Linseed,Oct(B)-Nov(B),Mar(B)-Apr(E)
West Bengal,Rabi Linseed,Oct(B)-Nov(B),Mar(B)-Apr(M)
Rajasthan,Rabi Linseed,Oct(B)-Oct(E),Feb(B)-Mar(E)
Himachal Pradesh,Rabi Linseed,Oct(B)-Nov(B),Apr(E)-May(M)
J & K,Rabi Linseed,Oct(B)-Nov(B),Apr(E)-May(M)
Punjab,Rabi Linseed,Oct(M)-Nov(M),Mar(E)-Apr(E)
Andhra Pradesh,Sugarcane (Kharif),Dec(E)-Jun(M),Dec(E)_May(M)
Assam,Sugarcane (Kharif),Mar(B)-Apr(E),Dec(B)-Jan(E)
Haryana,Sugarcane (Kharif),Feb(M)-Mar(M),Dec(M)-March(E)
Karnataka,Sugarcane (Kharif),Dec(B)-Mar(E),Aug(B)-May(E)
Kerala,Sugarcane (Kharif Jute),Jun(B)-Oct(E),Oct(B)-Jan(E)
Madhya Pradesh,Sugarcane (Kharif),Oct(B)-Apr(E),Oct(E)-Mar(E)
Maharashtra,Sugarcane (Kharif),Jul(B)-Aug(E),Oct(B)-Nov(E)
Punjab,Sugarcane (Kharif),Feb(B)-Mar(E),Nov(B)-Feb(E)
Rajasthan,Sugarcane (Kharif),Mar(B)-Apr(E),Dec(B)-Mar(E)
Tamil Nadu,Sugarcane (Kharif),Dec(B)-Jan(E),Dec(B)-Jan(E)
Uttar Pradesh,Sugarcane (Kharif),Feb(B)-Aug(E)/Rabi: Jun(B)-Oct(E),Aug(B)-nov(E)/Oct(B)-Jan(E)
West Bengal,Sugarcane (Kharif Jute),Mar(B)-May(E),Jul(B)-Aug(E)
All India,Sugarcane (Kharif/Rabi),Feb(B)-Aug(E)/Jun(B)-Oct(E),Aug(B)-nov(E)/Oct(B)-Jan(E)
Madhya Pradesh,Soybean (Kharif),June(M)-July(M),Sept(E)-October(B)
Maharashtra,Soybean (Kharif),June(M)-July(M),Sept(E)-Oct(B)
Rajasthan,Soybean (Kharif),June(E)-July(M),Sept(E)-October(B)
Karnataka,Soybean (Kharif),June(M)-July(B),Sept(E)-Oct(B)
Andhra Pradesh,Soybean (Kharif),June(M)-July(M),Sept(E)-Oct(B)
Chhattisgarh,Soybean (Kharif),June(M)-July(M),Sept(E)-October(B)
Uttar Pradesh,Soybean (Kharif),June(E)-July(M),Sept(E)-October(B)
Madhya Pradesh,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Madhya Pradesh,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Maharashtra,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Maharashtra,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Karnataka,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Karnataka,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Andhra Pradesh,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Andhra Pradesh,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Orissa,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Orissa,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Bihar/Jharkhand,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Bihar/Jharkhand,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Gujarat,Niger (Kharif),June(B)-July(E),Oct(B)-Nov(M)
Gujarat,Niger (Late Kharif),Aug(B)-Sept(B),Nov(B)-Dec(B)
Gujarat,Gram (Rabi),Oct(B)-Nov(E),Feb(B)-Mar(E)
Haryana,Gram (Rabi),Oct(B)-Oct(M),Mar(M)-Mar(E)
Karnataka,Gram (Rabi),Oct(B)-Nov(E),Jan(B)-Mar(E)
Madhya Pradesh,Gram (Rabi),Oct(B)-Dec(B),Feb(B)-Apr(B)
Maharashtra,Gram (Rabi),Sep(B)-Oct(E),Feb(B)-Mar(E)
Uttar Pradesh,Gram (Rabi),Oct(B)-Nov(E),Mar(B)-Apr(E)
Madhya Pradesh,Masur (Rabi),Sep(M)-Nov(E),Feb(M)-Apr(B)
Uttar Pradesh,Masur (Rabi),Oct(B)-Nov(E),Mar(B)-Mar(E)
